Date,Open,High,Low,Close,Volume,SMA_50,Daily_Return
2015-01-01,320.4349975585937,320.4349975585937,314.00299072265625,314.2489929199219,8036550,27384.65771334999,0.0020319767958835
2015-01-02,314.0790100097656,315.8389892578125,313.56500244140625,315.0320129394531,7860650,27384.65771334999,0.0024917184690256
2015-01-03,314.84600830078125,315.1499938964844,281.0820007324219,281.0820007324219,33054400,27384.65771334999,-0.1077668643584999
2015-01-04,281.14599609375,287.2300109863281,257.61199951171875,264.19500732421875,55629100,27384.65771334999,-0.0600785299812876
2015-01-05,265.0840148925781,278.34100341796875,265.0840148925781,274.4739990234375,43962800,27384.65771334999,0.0389068355353301
2015-01-06,274.6109924316406,287.5530090332031,272.6960144042969,286.1889953613281,23245700,27384.65771334999,0.0426816251432626
2015-01-07,286.0769958496094,298.7539978027344,283.0790100097656,294.3370056152344,24866800,27384.65771334999,0.0284707322293051
2015-01-08,294.135009765625,294.135009765625,282.17498779296875,283.3489990234375,19982500,27384.65771334999,-0.0373313799562149
2015-01-09,282.38299560546875,291.114013671875,280.5329895019531,290.4079895019531,18718600,27384.65771334999,0.0249127066015564
2015-01-10,287.3030090332031,288.12701416015625,273.96600341796875,274.7959899902344,15264300,27384.65771334999,-0.0537588498804498
2015-01-11,274.6080017089844,279.63800048828125,265.0390014648437,265.6600036621094,18200800,27384.65771334999,-0.0332464324841482
2015-01-12,266.14599609375,272.2030029296875,265.20001220703125,267.7959899902344,18880300,27384.65771334999,0.0080403007554037
2015-01-13,267.3940124511719,268.2770080566406,219.906005859375,225.86099243164065,72843904,27384.65771334999,-0.1565930750498653
2015-01-14,223.8939971923828,223.8939971923828,171.50999450683594,178.10299682617188,97638704,27384.65771334999,-0.2114486219656687
2015-01-15,176.89700317382812,229.06700134277344,176.89700317382812,209.843994140625,81773504,27384.65771334999,0.1782170871915886
2015-01-16,209.07000732421875,221.59100341796875,199.77099609375,208.0970001220703,38421000,27384.65771334999,-0.0083252038053752
2015-01-17,207.83399963378903,211.7310028076172,194.875,199.259994506836,23469700,27384.65771334999,-0.0424658001319123
2015-01-18,200.0500030517578,218.69500732421875,194.5059967041016,210.3390045166016,30085100,27384.65771334999,0.0556007744413822
2015-01-19,211.4709930419922,216.72799682617188,207.3179931640625,214.86099243164065,18658300,27384.65771334999,0.0214985704883001
2015-01-20,212.9069976806641,215.24099731445312,205.1529998779297,211.31500244140625,24051100,27384.65771334999,-0.0165036470794602
2015-01-21,211.3780059814453,227.7879943847656,211.2120056152344,226.89700317382807,29924600,27384.65771334999,0.0737382606648691
2015-01-22,227.322006225586,237.0189971923828,226.4340057373047,233.406005859375,33544600,27384.65771334999,0.0286870368250755
2015-01-23,233.5169982910156,234.84500122070312,225.1959991455078,232.8789978027344,24621700,27384.65771334999,-0.0022579027249116
2015-01-24,232.6999969482422,248.2100067138672,230.02200317382807,247.8470001220703,24782500,27384.65771334999,0.064273732112223
2015-01-25,247.3520050048828,255.07400512695312,243.88999938964844,253.718002319336,33582700,27384.65771334999,0.0236880099189178
2015-01-26,254.07899475097656,309.3840026855469,254.07899475097656,273.4729919433594,106794000,27384.65771334999,0.0778619941960574
2015-01-27,273.1669921875,275.4800109863281,250.6529998779297,263.4750061035156,44399000,27384.65771334999,-0.0365593171332783
2015-01-28,263.3510131835937,266.5350036621094,227.04600524902344,233.9149932861328,44352200,27384.65771334999,-0.1121928537151987
2015-01-29,233.34800720214844,238.7059936523437,220.7120056152344,233.51300048828125,32213400,27384.65771334999,-0.0017185422456431
2015-01-30,232.77200317382807,242.8509979248047,225.8390045166016,226.4250030517578,26605200,27384.65771334999,-0.0303537594125478
2015-01-31,226.4409942626953,233.5039978027344,216.3090057373047,217.4640045166016,23348200,27384.65771334999,-0.0395760115463391
2015-02-01,216.86700439453125,231.57400512695312,212.01499938964844,226.9720001220703,29128500,27384.65771334999,0.0437221581870708
2015-02-02,226.49099731445312,242.1750030517578,222.65899658203125,238.22900390625,30612100,27384.65771334999,0.0495964426366486
2015-02-03,237.45399475097656,245.95700073242188,224.4830017089844,227.2680053710937,40783700,27384.65771334999,-0.0460103444812695
2015-02-04,227.5110015869141,230.05799865722656,221.11300659179688,226.85299682617188,26594300,27384.65771334999,-0.001826075536872
2015-02-05,227.6649932861328,239.40499877929688,214.7250061035156,217.11099243164065,22516400,27384.65771334999,-0.0429441291533659
2015-02-06,216.92300415039065,230.509994506836,216.23199462890625,222.26600646972656,24435300,27384.65771334999,0.0237436805034596
2015-02-07,222.63299560546875,230.2989959716797,222.60699462890625,227.7539978027344,21604200,27384.65771334999,0.0246910961337458
2015-02-08,227.6929931640625,229.43800354003903,221.07699584960932,223.41200256347656,17145200,27384.65771334999,-0.0190644084457237
2015-02-09,223.38900756835932,223.9770050048828,217.0189971923828,220.1100006103516,27791300,27384.65771334999,-0.0147798771562723
2015-02-10,220.2819976806641,221.8070068359375,215.33200073242188,219.8390045166016,21115100,27384.65771334999,-0.0012311848303054
2015-02-11,219.73199462890625,223.406005859375,218.07400512695312,219.1849975585937,17201900,27384.65771334999,-0.0029749359511789
2015-02-12,219.2079925537109,222.19900512695312,217.613998413086,221.76400756835932,15206200,27384.65771334999,0.0117663619248218
2015-02-13,221.968994140625,240.25900268554688,221.26199340820312,235.427001953125,42744400,27384.65771334999,0.0616105135119997
2015-02-14,235.5279998779297,259.8080139160156,235.5279998779297,257.3210144042969,49732500,27384.65771334999,0.0929970320716699
2015-02-15,257.5069885253906,265.6109924316406,227.6840057373047,234.8249969482422,56552400,27384.65771334999,-0.0874239420675897
2015-02-16,234.8249969482422,239.52099609375,229.02200317382807,233.843002319336,28153700,27384.65771334999,-0.0041818147201879
2015-02-17,233.4219970703125,245.7749938964844,232.31399536132807,243.6100006103516,27363100,27384.65771334999,0.0417673319027858
2015-02-18,243.77999877929688,244.25100708007807,232.33999633789065,236.3260040283203,25200800,27384.65771334999,-0.029900236294822
2015-02-19,236.41000366210932,242.6719970703125,235.5919952392578,240.2830047607422,18270500,241.69314025878907,0.0167438227912815
2015-02-20,240.25100708007807,247.1009979248047,239.2989959716797,243.7790069580078,23876700,240.2837405395508,0.0145495192252431
2015-02-21,243.7519989013672,255.32000732421875,243.1840057373047,244.53399658203125,12284200,238.87378021240235,0.0030970247743831
2015-02-22,244.54400634765625,246.3919982910156,233.8509979248047,235.9770050048828,19527000,237.97168029785155,-0.0349930549402275
2015-02-23,235.9949951171875,240.10899353027344,232.42100524902344,238.8919982910156,16400000,237.4656201171875,0.0123528700861021
2015-02-24,238.9980010986328,239.9010009765625,236.4019927978516,238.7350006103516,14200400,236.7508401489258,-0.0006571910394118
2015-02-25,238.88999938964844,239.33999633789065,235.52999877929688,237.47000122070312,11496200,235.77646026611328,-0.0052987596557452
2015-02-26,237.3370056152344,237.7100067138672,234.2570037841797,236.42599487304688,13619400,234.6182400512696,-0.0043963715091994
2015-02-27,236.43600463867188,256.65301513671875,236.43600463867188,253.8280029296875,44013900,234.0278201293945,0.0736044615820901
