Date,Daily_Sentiment,Tweet_Volume
05-Feb-2021,0.18417945690673,1694
06-Feb-2021,0.119585112873703,3278
07-Feb-2021,0.107590759075908,3030
08-Feb-2021,0.201522932530547,5647
09-Feb-2021,0.180689655172414,4350
10-Feb-2021,0.168179239931934,3526
13-Feb-2021,0.168490153172867,2285
14-Feb-2021,0.311798453479671,4009
15-Feb-2021,0.372608041281445,4651
18-Feb-2021,0.173469387755102,2254
19-Feb-2021,0.165892501658925,4521
22-Feb-2021,0.0987654320987654,3564
28-Feb-2021,0.164014687882497,1634
11-Mar-2021,0.221198156682028,217
12-Mar-2021,0.152689268417028,3923
05-Apr-2021,0.177514792899408,2197
06-Apr-2021,0.146916890080429,3730
07-Apr-2021,0.139143352314929,4039
08-Apr-2021,0.180748663101604,3740
09-Apr-2021,0.134388489208633,3475
10-Apr-2021,0.110944901520818,4011
11-Apr-2021,0.159391858754291,2039
12-Apr-2021,0.129802699896158,1926
17-Apr-2021,0.303303303303303,333
18-Apr-2021,0.140399320305862,4708
19-Apr-2021,0.171643602816218,4119
20-Apr-2021,0.20897903372835,4388
21-Apr-2021,0.219341749323715,4436
22-Apr-2021,0.168365346922775,5102
23-Apr-2021,0.166751918158568,5865
24-Apr-2021,0.191295546558704,3952
25-May-2021,0.15340706386015,2803
26-May-2021,0.128215598203348,4898
27-May-2021,0.150809947524527,4383
28-May-2021,0.132202736558104,5189
29-May-2021,0.123087159015303,4509
20-Jun-2021,0.135092467298151,8868
21-Jun-2021,0.0791056579357282,41729
22-Jun-2021,0.0362347294938918,45840
23-Jun-2021,0.102391171060699,29358
02-Jul-2021,0.140311428410816,17789
03-Jul-2021,0.145300825796304,25430
04-Jul-2021,0.151643782215099,23087
05-Jul-2021,0.138254878565105,25981
16-Jul-2021,0.0783783783783784,1110
17-Jul-2021,0.142199421204946,15204
18-Jul-2021,0.140668470597203,26239
19-Jul-2021,0.126438768103418,28931
20-Jul-2021,0.0618756667636505,30933
21-Jul-2021,0.144072370280897,38911
22-Jul-2021,0.166866668828852,30833
23-Jul-2021,0.146617663948547,43535
24-Jul-2021,0.195667735208988,32131
25-Jul-2021,0.209148074769575,11609
26-Jul-2021,0.370739514750282,27491
27-Jul-2021,0.202968167479208,13948
28-Jul-2021,0.209153702149635,15491
29-Jul-2021,0.177524429967427,19034
30-Jul-2021,0.168264221712857,38392
04-Aug-2021,0.210941906373378,1773
05-Aug-2021,0.200124834204572,12817
06-Aug-2021,0.212441387933729,15995
07-Aug-2021,0.195434551797361,13186
08-Aug-2021,0.200892593249394,33834
09-Aug-2021,0.13050223360311,53501
14-Aug-2021,0.149447978357827,13677
15-Aug-2021,0.165797082184042,30091
16-Aug-2021,0.186537276648182,32460
17-Aug-2021,0.171357381505181,35318
18-Aug-2021,0.19692887226306,38227
19-Aug-2021,0.185078197945845,34272
20-Aug-2021,0.205848667633809,39291
21-Aug-2021,0.204520497803807,10928
23-Aug-2021,0.205084261639532,10503
24-Aug-2021,0.188180635569597,26905
25-Aug-2021,0.178730097995451,47043
26-Aug-2021,0.199407649491906,39166
10-Sep-2021,0.14193960017014,23510
18-Oct-2021,0.159814582160031,23083
19-Oct-2021,0.181380720239031,63590
20-Oct-2021,0.232107564233096,33394
21-Oct-2021,0.177073998962411,42406
22-Oct-2021,0.171924635776098,54774
23-Oct-2021,0.168649937837769,39413
27-Oct-2021,0.147816962452667,21919
28-Oct-2021,0.164363422522787,37411
29-Oct-2021,0.172601591956431,35805
04-Nov-2021,0.170928304215357,25929
05-Nov-2021,0.186316381005901,35590
06-Nov-2021,0.22238476822638,45799
11-Nov-2021,0.154574768238613,19848
12-Nov-2021,0.178333082442671,39858
18-Nov-2021,0.170353742968412,36976
19-Nov-2021,0.159043370416304,54023
24-Nov-2021,0.131912893623688,6383
25-Nov-2021,0.183315184191655,37651
26-Nov-2021,0.169822135760439,57572
11-Dec-2021,0.155896069287142,6004
17-Dec-2021,0.024120553843143,20439
29-Dec-2021,0.229708222811671,3770
30-Dec-2021,0.0964205994897959,25088
11-Jan-2022,0.0739688280375441,11613
12-Jan-2022,0.0908122188017997,42230
13-Jan-2022,0.0974112064754727,42993
14-Jan-2022,0.170966345993808,30041
19-Jan-2022,0.161448407296488,3673
20-Jan-2022,0.104700176766532,22063
21-Jan-2022,-0.0872746642742998,35669
22-Jan-2022,-0.0193719100341202,71805
09-Feb-2022,0.155436114294748,25303
14-Feb-2022,0.164734480179506,5348
15-Feb-2022,0.196058443764866,8829
16-Feb-2022,0.193675889328063,3542
17-Feb-2022,0.107663633373534,18242
18-Feb-2022,0.113948380010983,18210
02-Mar-2022,0.177454024361118,8374
06-Mar-2022,0.185212938678656,8007
07-Mar-2022,0.142505937747406,23999
08-Mar-2022,0.306824385805278,5495
09-Mar-2022,0.221479050984351,15848
10-Mar-2022,0.142464179916571,33082
14-Mar-2022,0.143257639472946,3567
15-Mar-2022,0.138467411012501,31437
16-Mar-2022,0.15078288460212,43493
17-Mar-2022,0.128610847633009,23194
18-Mar-2022,0.132489694180807,20862
19-Mar-2022,0.132990314769976,16520
20-Mar-2022,0.209858307347229,18279
21-Mar-2022,0.174412459039498,28381
22-Mar-2022,-0.0240963855421687,83
23-Mar-2022,0.196962670994667,25878
24-Mar-2022,0.175488713381505,53559
13-Apr-2022,0.184462324671088,18394
14-Apr-2022,0.143786832495752,27659
15-Apr-2022,0.150925720484185,40563
16-Apr-2022,0.145911949685535,44520
17-Apr-2022,0.149720044792833,8930
18-Apr-2022,0.15541719022524,53321
19-Apr-2022,0.180065478355766,54980
20-Apr-2022,0.15567816091954,10875
21-Apr-2022,0.135778228892808,30049
22-Apr-2022,0.168913247420135,40506
27-Apr-2022,0.133107454017425,2066
28-Apr-2022,0.155352894528152,25220
29-Apr-2022,0.13409608977731,22812
30-Apr-2022,0.140637161491183,37259
01-May-2022,0.140636837889906,46197
02-May-2022,0.127249771664965,37226
10-May-2022,0.126164512168701,13847
11-May-2022,0.00106963311584127,18698
12-May-2022,-0.00996177198111086,44470
13-May-2022,0.060819629339598,42141
22-May-2022,0.0735563816604709,20175
23-May-2022,0.0475025484199796,4905
24-May-2022,0.122611547873171,19207
25-May-2022,0.0801309422146314,14052
26-May-2022,0.0822168087697929,21346
27-May-2022,0.081331276173683,13611
28-May-2022,0.109872288668153,4933
29-May-2022,0.111893033075299,17052
30-May-2022,0.176939113700754,18707
31-May-2022,0.197419155827464,19451
01-Jun-2022,0.134504167375404,23516
02-Jun-2022,0.110148849797023,11085
03-Jun-2022,0.0906268776286802,29958
04-Jun-2022,0.0957713275379402,6787
14-Jun-2022,0.020704664431504,17001
15-Jun-2022,0.0224667502693537,56617
17-Jun-2022,0.037991241540124,17583
18-Jun-2022,-0.0255918106206014,31260
19-Jun-2022,0.0222128792656436,14271
23-Jun-2022,0.0833004059053845,27839
24-Jun-2022,0.0431838975297347,5465
25-Jun-2022,0.0606963171664319,24845
26-Jun-2022,0.0683462288482104,31794
28-Jun-2022,0.0635324015247776,9444
29-Jun-2022,0.0551010400805224,38747
02-Jul-2022,0.0936501852561646,7827
03-Jul-2022,0.0950478093335236,14014
11-Jul-2022,0.125290023201856,6896
12-Jul-2022,0.119241488605935,18299
13-Jul-2022,0.123691953046802,32969
14-Jul-2022,0.113519260652654,36681
15-Jul-2022,0.120050547598989,33236
16-Jul-2022,0.11214204659235,29962
17-Jul-2022,0.0990559186637618,13770
30-Aug-2022,0.0899362154500354,14110
31-Aug-2022,0.105842171490203,27815
01-Sep-2022,0.0838391897048111,28829
02-Sep-2022,0.0695667304680703,28735
03-Sep-2022,0.0857142857142857,14350
04-Sep-2022,0.115090735434575,6282
11-Sep-2022,0.111034346624556,10132
12-Sep-2022,0.099499001506499,28543
13-Sep-2022,0.0857190137348999,30215
14-Sep-2022,0.067362700228833,34960
09-Oct-2022,0.103624820806881,9766
10-Oct-2022,0.107831046708802,25948
11-Oct-2022,0.0873720650210716,26576
12-Oct-2022,0.0915838068181818,28160
13-Oct-2022,0.0802735978112175,18275
14-Oct-2022,0.0826017253225437,13099
15-Oct-2022,0.040314493160576,24929
07-Nov-2022,0.0857969151670951,15560
08-Nov-2022,0.00127014368500437,12597
09-Nov-2022,0.0129024574218905,25189
10-Nov-2022,0.0354035857477873,13219
11-Nov-2022,0.012406812863906,18377
13-Nov-2022,0.0329313543599258,6468
14-Nov-2022,0.0418494016204564,13453
15-Nov-2022,0.0623732251521298,31552
16-Nov-2022,0.0471771289268103,36098
20-Nov-2022,0.0369860657147772,5813
21-Nov-2022,0.0278659759358289,23936
24-Dec-2022,0.060977577028553,6199
25-Dec-2022,0.0362374710871241,16861
26-Dec-2022,0.0735042735042735,585
27-Dec-2022,0.0763222381049622,19588
06-Jan-2023,0.124574540503744,4407
07-Jan-2023,0.100347695964086,22721
08-Jan-2023,0.0970464135021097,4266
09-Jan-2023,0.117180347879158,29493
25-Feb-2023,0.0574204946996466,2264
26-Feb-2023,0.142658783481143,22326
27-Feb-2023,0.0832239795565992,14479
28-Feb-2023,0.0664739884393064,24566
01-Mar-2023,0.104093453078225,30732
02-Mar-2023,0.0738809825747969,21291
03-Mar-2023,0.0331070724764616,22835
04-Mar-2023,0.0584823800247919,22588
05-Mar-2023,0.073963133640553,8680
